"BIBLIOGRAFIA";"AUTOR";"TITULO";"FECHA";"CRITERIO";"BLOQUE";"MEDIO";"SOPORTE";"TEMA";"PAIS";"ZONA";"TIPOLOGIA";"NOTAS";"CONCORDANCIA";"Valida"
"Lillo, Daniella: Con flores amarillas. Chile: archivodramaturgia.cl, 2001.";"Lillo, Daniella";"Con flores amarillas";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"Chile";"Chilena";"Ficción";"En esta edición hay tendencia a suprimir la interrogación de inicio";"David: ¿Qué sabís tú si estoy celoso o no? Creís que me gusta cómo están las cosas? Estoy harto de estas discusiones sentimentales, en unos años más estaremos discutiendo quien tiene más reumatismo que el otro y quién está más cagado, y estaremos sentados en un sillón viejo viendo pasar a la gente por la calle, amargados, hechos una mierda... algún día me iré y no me vai a ver más... No digo que no te quiero sino que me ahogo,";"no"
"Monteforte Toledo, Mario: Los adoradores de la muerte. México D. F.: Alfaguara, 2001.";"Monteforte Toledo, Mario";"Los adoradores de la muerte";2001;"Fecha de escritura";"Ficción";"Escrito";"Libro";"Novela";"Guatemala";"México y Centroamérica";"Ficción";;"El olor fúnebre de los cirios mezclado con el de las asiduas ancianas le revolvía el estómago. El confesionario le repugnaba, lo asociaba con un instrumento de torturas igual a los del museo de antigüedades. ""A ver... Dime algo de tus sueños... Ves a tus hermanas cuando se están bañando... Qué más haces, qué más... Qué dice tu papá de... todo. Recuerda que mentir es pecado preferido por el diablo..."" La voz pastosa y como estrangulada desde los pulmones le caía en plena cara con el aliento fétido del cura y su mirada apremiante y acusadora que lo hacía sentirse culpable de odiosos e";"no"
"Istarú, Ana: Hombres en escabeche. Buenos Aires: celcit.org.ar, 2013-04-23.";"Istarú, Ana";"Hombres en escabeche";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"Costa Rica";"México y Centroamérica";"Ficción";"Fecha de publicación: fecha de descarga del texto fuente";"MÚSICO: No me digás eso, Alicia. Para mí, el amor es como la música: más tocás un instrumento, más dulce es su sonido. Dejate querer.";"si"
"Vega, Máximo: Ana y los demás. Santiago: Ediciones D, 2001.";"Vega, Máximo";"Ana y los demás";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"República Dominicana";"Antillas";"Ficción";;"-Okey. Oye uno que me gusta. Porque me contaste lo de... ¿cómo se llama? Roberto. Okey. ""No quisiera perder sufrimiento alguno, ni soportar la menor tortura. La angustia más bendice, cuanto más castiga. Y perdida en las llamas del infierno o brillando como una estrella, si anuncia la muerte, la visión es divina"". Hasta ahí. Yo creo que ahí se acabó, de todas maneras. No es mío, yo no soy poeta.";"no"
"Kostzer, Kado: Pedestales de arena. www.celcit.org.ar: celcit.org.ar, 2013-04-22.";"Kostzer, Kado";"Pedestales de arena";2001;"Fecha de estreno";"Ficción";"Escrito";"Libro";"Teatro";"Argentina";"Río de la Plata";"Ficción";"Fecha de publicación: fecha dedescarga del texto fuente";"DUARTE: ¿Qué pretendes? Eres una desagradecida. Todo lo que te di. Si no fuese por mí no serías la Señorita Presidenta. La Señorita Fanny Navarro. ¿Qué más quieres? Tienes mucho más de lo que la más ambiciosa puede soñar. Y las hay más lindas, más eficaces y talentosas que tú. Muchas se preguntarán ¿por qué está Fanny Navarro en ese puesto y no yo? ¿Por qué le tocó a ella y no a mí? Y yo sé la respuesta.";"no"
"Malmierca, Álvaro Ángel: El hombre más feo de Atenas. Montevideo: dramaturgiauruguaya.gub.uy, 2001.";"Malmierca, Álvaro Ángel";"El hombre más feo de Atenas";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"Uruguay";"Río de la Plata";"Ficción";;"No lo lamentes. ¿Al cabo qué más da? Día más, día menos...";"no"
"Schutz, Gabriel: «Un hombre grita». Una noche de luz clara y otros cuentos. Montevideo: Cauce Editorial, 2001.";"Schutz, Gabriel";"Una noche de luz clara y otros cuentos";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Uruguay";"Río de la Plata";"Ficción";;"el suelo sujetándose el vientre ardoroso con las manos, gimiendo con el viento, sabiendo de antemano que no podría reprimir el grito mucho tiempo más. Imaginó un bramido capaz de abrir los cielos, capaz de estremecer la tierra y derrumbar el complejo y sus miserias, y hacer explotar los oídos sordos de incomprensión. Y más deseó gritar, más que nunca.";"no"
"Schutz, Gabriel: «Dandy's». Una noche de luz clara y otros cuentos. Montevideo: Cauce Editorial, 2001.";"Schutz, Gabriel";"Una noche de luz clara y otros cuentos";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Uruguay";"Río de la Plata";"Ficción";;"—dijo señalado el tendón de Aquiles— es el punto crítico, el máximo afinamiento; apenas sobresalen los tobillos a cada costado, como la cruceta de un barco. Fíjate la sutileza de las dos concavidades —las recorría con los dedos— que van del tendón al tobillo. Cuanto más huecas, más sobresalen los huesos, más destacan en fuerza y fragilidad. A ver gírame un cachito para este lado. Áhi está. Bueno, el empeine. ¿Te das cuenta el tipo de piel? Es como el lomo de un cazón: lisa, tirante, opaca. Sólo una vena, una sola, y";"no"
"Venturo Schultz, Sandro: Contrajuventud: ensayos sobre juventud y participación política. Lima: IEP Ediciones, 2001.";"Venturo Schultz, Sandro";"Contrajuventud: ensayos sobre juventud y participación política";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Política, economía y justicia";"Perú";"Andina";"Académico";;"y despedido. Esta historia le servía como analogía para ejemplificar la siguiente reflexión: ""algunos que no son políticos a la hora que están arriba dicen, esta es mi oportunidad, mejor robo, es un mal que se da en todas partes; y no roban poquito, sino más, más la codicia, más, más quiero más y nunca es suficiente, entonces es ahí cuando la economía o una plata que debería ir a su sitio no va a un sitio sino va a un bolsillo... eso para mí es la política, más que nada robo"".";"no"
"Serrano, Marcela: Lo que está en mi corazón. Barcelona: Planeta, 2001.";"Serrano, Marcela";"Lo que está en mi corazón";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Chile";"Chilena";"Ficción";;"l cónsul argentino. Barbarita era la pequeña joya de los pintores y sólo aportaba reflejos dorados a su madre, pero todo se vino abajo y fueron expulsadas de la embajada. Cuando hubo cambio de gobierno y resultó muy caro para el ex marido mantenerlas, debieron volver al país derrotadas. El gran pintor nunca más regresó, cada vez más famoso y más cotizado en el extranjero, mientras la amargura y el resentimiento pasaron a ser el motor de Amaya, acarreando en ello a su hija. Sintió que Chile no la reconocía como era debido, que todas las loas eran injustamente dirigidas a su marido y que el Estado debía a";"no"
