"BIBLIOGRAFIA";"AUTOR";"TITULO";"FECHA";"CRITERIO";"BLOQUE";"MEDIO";"SOPORTE";"TEMA";"PAIS";"ZONA";"TIPOLOGIA";"NOTAS";"CONCORDANCIA";"Valida";"cuantificador"
"Aridjis, Homero: La zona del silencio. México D. F.: Punto de Lectura, 2005.";"Aridjis, Homero";"La zona del silencio";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"México";"México y Centroamérica";"Ficción";;"Entre más dure la lluvia más tiempo tendré para besarte. Quiero un trago.";"si";"entre"
"Rosenzwit, Walter: Nadar en tierra. Buenos Aires: celcit.org.ar, 2013-02-27.";"Rosenzwit, Walter";"Nadar en tierra";2001;"Fecha de estreno";"Ficción";"Escrito";"Libro";"Teatro";"Argentina";"Río de la Plata";"Ficción";"Fecha de publicación: fecha de descarga del texto fuente";"Si, con tan sólo mirar este cielo sin estrellas, yo pudiera creer, creer en algo... y en esta creencia yo pidiera ahora, el olvido. Si. El olvido. Es que, en este momento, por alguna sensación que no logro explicar, creo. Yo creo. Creo que soy más cuanto más callo que cuanto más hablo. ¿Se entiende lo que no digo? Sí hablo me siento perdido. Sí callo. (PAUSA) Si: Tengo un secreto.";"no";"cuanto"
"Majfud, Jorge: La reina de América. Alicante: Biblioteca Virtual Miguel de Cervantes, 2004.";"Majfud, Jorge";"La reina de América";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Uruguay";"Río de la Plata";"Ficción";;"Me quedé en la vereda de enfrente, haciendo que esperaba un ómnibus, aunque allí no había ninguna parada. Yo esperaba que el Tito se quedara solo para ir a hablarle, pero cuanto más esperaba más tipos se iban amontonando en la entrada. Era evidente: en el medio estaba el Tito, contándoles que me había partido en dos y que ahora yo volvía en busca de más. Podía adivinar la conversación, rodeada de risitas cómplices. Las cosas no salían como yo las había previsto (nunca nada";"si";"cuanto"
"Orellana Suárez, Mauricio: Te recuerdo que moriremos algún día. San Salvador: Dirección de Publicaciones e Impresos, 2001.";"Orellana Suárez, Mauricio";"Te recuerdo que moriremos algún día";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"El Salvador";"México y Centroamérica";"Ficción";;"Anoche sí que estuve solo, Cuatrita. Me di cuenta de que somos hombres enfermos de soledad de nacimiento, buscando quién nos cure. Y entre más encontramos, entre más gente hemos tenido para paliarnos lo solos que estamos, más solos nos quedamos.";"no";"entre"
"Franco, Jorge: Paraíso Travel. Bogotá: Planeta Colombiana, 2001.";"Franco, Jorge";"Paraíso Travel";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"de los dedos en el momento de marcar, pero cuando el teléfono repicó comencé a sacudirme. Me recosté donde pude porque de lo contrario me iba a caer. Me sostuve en una sola pierna. La otra convulsionó como una serpiente herida; hasta le dije ofuscado: quédate quieta pierna hijueputa, pero mientras más repicaba más temblaba, hasta que la apoyé con fuerza en el suelo y con el otro pie la pisé y amarré como si fuera un animal que se quisiera escapar. Repicaba y tomé aire porque se me había olvidado respirar. Hasta que por fin escuché la voz de Reina.";"si";"mientras"
"Cuello, Ketty María: El ángel del acordeón. Colombia: I/M Editores, 2001.";"Cuello, Ketty María";"El ángel del acordeón";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"de licor se lo brindaron a Poncho para hacerle el honor, como era costumbre ante un acordeonista, el segundo al cajero, y el tercero al guacharaquero, después iniciaron la fiesta hasta la luz del otro día. Al principio, Poncho se sintió tímido con el acordeón prestado, pero mientras más tocaba más se familiarizaban, tanto que terminaron fusionados, aparato y él, como si se hubieran tocado el alma. Fueron la sensación. Mamá Cris sin protestar, aceptó dormitar en cama ajena hasta que surgió el cansancio de los músicos; difícil hablarle de cansancio a los verdaderos acordeonistas, porque jamás es suficiente, como";"si";"mientras"
"Espinel, Jaime: «Pégame un tiro y te ladro o viceversa». Cárdeno réquiem: entre toda la eternidad menos un día. Medellín: Editorial Universidad de Antioquia, 2001.";"Espinel, Jaime";"Cárdeno réquiem: entre toda la eternidad menos un día";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Colombia";"Caribe continental";"Ficción";;"ahora llueve afuera en la noche, no es por culpa mía, me repito o estoy rediciéndome mientras también pienso que hace ratico no iluminan mi noche ni la de afuera, esa piel que dizque me aparta del perro, los relámpagos. Pienso en Caín ya no como Abel sino como el amo que mientras más conoce a los hombres más ama al que te dije, me digo: Yo soy tu perro, Señor, ¿cuyo perro eres tú? Veo, claro que veo allá abajo la ciudad, esta ""coquita de plata"" que es Medellín a la cual dizque todos adoran pero sólo yo amo y conozco.";"si";"mientras"
"Ferrer Agüero, Luis María: El emperador chino de occidente (El Dr. F.): guión cinematográfico. Buenos Aires: Dunken, 2001.";"Ferrer Agüero, Luis María";"El emperador chino de occidente (El Dr. F.): guión cinematográfico";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Guion";"Paraguay";"Río de la Plata";"Ficción";;"delegado Gil en Paso de Patria fue inútil. Queda para los historiadores una pregunta sugestiva: ¿Qué hubiera pasado si Francia tomaba cartas en el asunto de la Guerra Cisplatina como líder y contra el Brasil? Si la demolición de Asunción era evidente como síntoma fóbico incluso hay otra nota más discreta pero igualmente reveladora: Cuanto más aumentaba su miedo... más aumentaba el presupuesto para el ejército. Esto se hace patente en los últimos años.";"si";"cuanto"
"Hernáez, Luis: Levadura y Mostaza. Asunción: Arandurã, 2001.";"Hernáez, Luis";"Levadura y Mostaza";2001;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Paraguay";"Río de la Plata";"Ficción";;"—Cuanto más dura la sequía, más cerca está la lluvia.";"si";"cuanto"
"Wornat, Olga: Menem-Bolocco, S.A.. Buenos Aires: Ediciones B Argentina, 2001.";"Wornat, Olga";"Menem-Bolocco, S.A.";2001;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias sociales, creencias y pensamiento";"Argentina";"Río de la Plata";;;"como de la entrega del panameño Manuel Antonio Noriega: ""Puede que hayan sido unos miserables, pero la expresión de felicidad exhibida por Bush frente a dichos acontecimientos me parece inaceptable. No puede uno solazarse frente a la desgracia ajena. Eso no es humano. Cuando fui testigo de ese hecho, pensé en aquello de que 'mientras más conozco a los hombres más prefiero a mi perro'. A tal punto que escribí una carta al diario que titulé 'compro perros', la que finalmente no envié..."".";"si";"mientras"
