"source"	"ID_sentence"	"date"	"url"	"sentence"	"cor_manual"	"Cita_traducción"	"Interrumpida"	"Introductor"	"Comparativos"	"Modificados"	"Función_Scomp_prótasis"	"Función_Scomp_apódosis"	"SV_prótasis"	"SV_apódosis"	"Tiempo_verbal_prótasis"	"Tiempo_verbal_apódosis"	"Modo_verbal_prótasis"	"Modo_verbal_apódosis"	"Marco_sintáctico_oración"	"Interpretación_tanto_tanto"
"El Mundo (Ariadna)"	"396_6_3"	"2009-05-19"	"https://www.elmundo.es/elmundo/2009/05/19/lacuadrilla/1242723488.html"	"más corpulento era julián, más débil era por dentro."	"amonesca"	"no"	"no"	"NA"	"más_más"	"Adj_Adj"	"Atr"	"Atr"	"VS"	"V_"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"El Mundo (Ariadna)"	"396_6_4"	"2009-05-19"	"https://www.elmundo.es/elmundo/2009/05/19/lacuadrilla/1242723488.html"	"más enclenque se mostraba, más fuerte era en su interior."	"amonesca"	"no"	"no"	"NA"	"más_más"	"Adj_Adj"	"Ptvo"	"Atr"	"V"	"V_"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"El Mundo (Ariadna)"	"414_5_3"	"2009-04-21"	"https://www.elmundo.es/elmundo/2009/04/21/lacuadrilla/1240296466.html"	"menos cobran los toreros, más dinero ganan los empresarios."	"amonesca"	"no"	"no"	"NA"	"menos_más"	"V_N"	"OD"	"OD"	"VS"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El Mundo (Blog de Pecho)"	"50_5_2"	"2014-09-08"	"https://www.elmundo.es/blogs/elmundo/blogdepecho/2014/09/08/el-sindrome-wittgenstein.html"	"más años cumplía, más radicalizaba su aversión a los artistas, de forma que únicamente terminó tolerando a otto klemperer."	"amonesca"	"no"	"no"	"NA"	"más_más"	"N_V"	"OD"	"CC"	"V"	"V_"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"El Mundo (Blog de Pecho)"	"146_12_2"	"2012-09-12"	"https://www.elmundo.es/blogs/elmundo/blogdepecho/2012/09/12/de-jose-a-josep.html"	"las recuerdo de memoria porque me parece que reflejan una visión equilibrista y especulativa a bordo del puente aéreo: ""cuanto más catalán me dejan ser más español me siento""."	"normal"	"cita de memoria"	"no"	"cuanto"	"más_más"	"Adj_Adj"	"Atr"	"Ptvo"	"V"	"V"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El Mundo (Blog de Pecho)"	"25_8_3"	"2015-02-02"	"https://www.elmundo.es/blogs/elmundo/blogdepecho/2015/02/02/marriner-con-la-nacional.html"	"sostiene que es la única profesión del mundo en que la sociedad y el mercado te valoran mejor cuantos más años tienes."	"inversa"	"no"	"no"	"cuanto"	"mejor_más"	"Adj_N"	"OD"	"Ptvo"	"V_"	"SVComp"	"presente"	"presente"	"indicativo"	"indicativo"	"relativa"	"NA"
"El Mundo (Blog de Pecho)"	"239_6_1"	"2010-09-18"	"https://www.elmundo.es/blogs/elmundo/blogdepecho/2010/09/18/carlos-kleiber.html"	"menos aceptaba dirigir, más se llenaban sus conciertos de adeptos y melómanos."	"amonesca"	"no"	"no"	"NA"	"menos_más"	"V_V"	"CC"	"CC"	"V"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"El Mundo (Blog de Pecho)"	"172_3_3"	"2012-03-12"	"https://www.elmundo.es/blogs/elmundo/blogdepecho/2012/03/12/goya-vs-beethoven.html"	"tanto envejecían, tanto se oscurecía su obra o se atisbaba simultáneamente el lenguaje de la vanguardia."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"V"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"Orbyt"	"32_1"	"2009-12-13"	"http://quiosco.elmundo.orbyt.es/hemeroteca/Noticia_Hemeroteca.aspx?hDoc=/archivoarticulos%2fArt%c3%adculos%2f2-21495841"	"más obstáculos se oponían en su camino, más fuertes se hacían el emblema y la locomotora del orient express."	"amonesca"	"no"	"no"	"NA"	"más_más"	"N_Adj"	"S"	"Ptvo"	"V_"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"Orbyt"	"46_1"	"2009-12-06"	"http://quiosco.elmundo.orbyt.es/hemeroteca/Noticia_Hemeroteca.aspx?hDoc=/archivoarticulos%2fArt%c3%adculos%2f2-21398788"	"partiendo de la elocuencia con que hablaba el propio françois pinault: «cuanto antes, mejor»."	"normal"	"traduce_francés"	"no"	"cuanto"	"antes_mejor"	"V_Adj"	"NA"	"NA"	"sin verbo"	"sin verbo"	"NA"	"NA"	"NA"	"NA"	"principal"	"NA"
"Orbyt"	"439_1"	"2009-10-04"	"http://quiosco.elmundo.orbyt.es/hemeroteca/Noticia_Hemeroteca.aspx?hDoc=/archivoarticulos%2fArt%c3%adculos%2f2-39342614"	"´´más te pesas, más te obsesionas y menos pierdes."	"amonesca"	"traduce_francés"	"no"	"NA"	"más_más_y_menos"	"V_V_y_V"	"CC"	"CC_y_OD"	"V"	"V/V"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"Orbyt"	"439_1"	"2009-10-04"	"http://quiosco.elmundo.orbyt.es/hemeroteca/Noticia_Hemeroteca.aspx?hDoc=/archivoarticulos%2fArt%c3%adculos%2f2-39342614"	"más te olvidas, mejor te conservas."	"amonesca"	"traduce_francés"	"no"	"NA"	"más_mejor"	"V_V"	"CC"	"Ptvo"	"V"	"V"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"Orbyt"	"609_1"	"2009-06-24"	"http://quiosco.elmundo.orbyt.es/hemeroteca/Noticia_Hemeroteca.aspx?hDoc=/archivoarticulos%2fArt%c3%adculos%2f2-16400547"	"tanto se contenía el público en el trance de escuchar cuanto se exacerbaba en el momento de aplaudir."	"inversa"	"no"	"no"	"cuanto"	"tanto_cuanto"	"V_V"	"CC"	"CC"	"V_"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"Orbyt"	"850_1"	"2009-04-25"	"http://quiosco.elmundo.orbyt.es/hemeroteca/Noticia_Hemeroteca.aspx?hDoc=/archivoarticulos%2fArt%c3%adculos%2f2-14749847"	"p.- a más alfabetización, menos hijos."	"normal"	"no"	"no"	"a"	"más_menos"	"N_N"	"NA"	"NA"	"sin verbo"	"sin verbo"	"NA"	"NA"	"NA"	"NA"	"principal"	"NA"
"Orbyt"	"851_1"	"2009-04-25"	"http://quiosco.elmundo.orbyt.es/hemeroteca/Noticia_Hemeroteca.aspx?hDoc=/archivoarticulos%2fArt%c3%adculos%2f2-14749847"	"a más estudios, menos hijos."	"normal"	"traduce_francés"	"no"	"a"	"más_menos"	"N_N"	"NA"	"NA"	"sin verbo"	"sin verbo"	"NA"	"NA"	"NA"	"NA"	"principal"	"NA"
"Orbyt"	"855_1"	"2009-04-25"	"http://quiosco.elmundo.orbyt.es/hemeroteca/Noticia_Hemeroteca.aspx?hDoc=/archivoarticulos%2fArt%c3%adculos%2f2-14749847"	"los hijos se convierten en una inversión: si hay más en una casa con recursos limitados, menos se les puede garantizar una buena instrucción."	"normal"	"no"	"no"	"si"	"más_menos"	"V_V"	"OD"	"CC"	"VimpComp"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
