id	birthyear	country	region	estudios	lengua
kmjq0l8gvvi58ej55d8gp7hne4	1992	España	Madrid	5	Inglés
eec59082q4juc7k7shv6dblcg3	1977	España 	Castilla La Mancha 	4	1
0cc8ethn5otpbpkmvfvm3cpph6	1974	España	Galicia	4	Galego-portugués
qtejiouv278kcfhb9pke2jq8i6	1971	México	Jalisco	5	Inglés 
fp91t60q38ri09bjlnfvq62vo3	1977	España	Castilla y León 	5	Inglés
07ure2uhefu6mtnu5al2l0s413	1978	España	Extremadura	4	Ninguna
n6cf94k3rdhf4ar8eihutuit01	2004	España	Aragón	2	Francés, inglés 
rco1710k709gjf3iber194tkf6	1969	España	Andalucía	5	Inglés
d9hdpunkfeae0q3kkeakikbl72	1979	España	Asturias	4	Ninguna
9or7pjfg6omn86k08097pkpo21	1980	España	Asturias	2	Ninguna
jdbcirt2h52pdsnjvj0uoa5k55	1970	España	Asturias	4	Inglés, Alemán 
imoelh7a2pli4mgu59ugd83903	1993	España	Valencia	5	Valenciano
31k2a746pt12lh7gk006bpver2	1974	España	Madrid	4	Alemán, inglés e italiano.
dio8uhul1vj6ju5a3avi8utp03	1992	España	Euskadi	5	Ingles, euskera, catalan, francés 
b7f5dhkj9o6rui1avv26v4i1c3	1964	España	Salamanca	4	Francés, inglés, alemán 
86j62pmu233n7hmoquqm2v0df3	1974	España	Galicia	4	Gallego, inglés
330t1ll3seejj4ad22svmph710	1972	España	Aragón	4	Inglés Italiano
jpa4nrgchf2efepeiajd2dmcl7	1946	ES	Cuenca	4	francés, inglés
43irg3vcop3j3dta0l2qanino0	1972	España	Aragón	4	Alemán, inglés
lrvt8158dvrs3c8k8mdcv5dnp0	1984	España	Castilla y León	5	Catalán, inglés, francés
1e2vr0jkq5rsge5rj8uc7q23a0	1966	México 	Ciudad de México	4	Francés, alemán, inglés 
n75c50v1opi59vto3ip65tuho3	1999	Costa Rica 	Heredia 	4	Inglés, alemán 
hv2p139g1n0i5fvg78utqmlil2	1987	Españañ	Madrid	4	Inglés
bckp3m214gr8ssd71l38l37m03	1972	México	Ciudad de México 	4	inglés, francés, portugués 
2p7hjk3pjtsu50m1nqk6s5spi1	1961	España	MADRID	4	0
vnd0r8red85on7fa6vn7n8c220	1981	España	Catalunya (bcn)	5	Catalán, inglés y sueco
4q2kcn5juft95mebt5d02chkq2	1975	España 	Madrid	4	Inglés, Francés
h8s3sofnr3qvjj6cttagfi6ot7	1979	España	Madrid	5	Ingles 
2qude73v8rhplbbk9ai4b3qgb6	1985	México 	CDMX	5	Inglés 
udd35u3uffeldthrjq090rhnl1	1983	España 	Sevilla	4	0
3bjppi30mofuc2h1ion98droj7	1997	España	Cataluña, Barcelona	4	Catalán e inglés
avpukgcmhps6shhoi4e3fl5v06	1987	España	León 	5	Inglés 
snasr1cnp215q9l8ik9btr4lq4	1999	España	Jaén	4	Inglés e italiano
2aqconseng36dq8ssg4hpjqm06	1986	España	País Vasco	5	Inglés
2h6iiuij3o1jmud1k2s36474i4	1979	España	Castilla León	3	Ninguna
9ui103kpdqi2lle1u0q0b5cm61	1968	España	Madrid	5	Francés, inglés
e5ujpp8gmgen09ss17h5qq4tr5	1999	Argentina	Buenos Aires	3	Ingles
j2c6aeb0jp5uesa1i00clncrs3	1955	España	Murcia	5	Inglés
1esvpb014esl9co1cns94dcpg1	1977	España	Nací en Granada, pero viví 20 años en Asturias	5	Inglés y asturiano
h21oadqqkh65911dgeah0d1466	1999	España	País Vasco	4	Inglés, euskera
ionko4cjmcnbj5o17n29vgbah6	1993	España	Andalucía 	5	Inglés 
3apo10i6ghbsm9vg3tkdu0ert3	1964	España	País Vasco	5	euskera
9f440hclblmpn5r4h6ucv69av0	1978	España	Galicia	4	Gallego, inglés (?)
70gq8r4i1dfk3ke0rpt340lsf1	1970	España	Aragon	4	ingles
gus1ok2ofhtp8lfbgtgv09biu3	1995	España	Aragón	5	Inglés
rfuj0sogv2r47cdjjcuu3faev5	1974	España	Andalucía	5	inglés
3ccdri74n6qivt830nqnl3b7m4	1985	España	Galicia	5	2
cs4dpgpmkdkk4pjnc73ekd6nr0	1977	España	Euskadi	3	Inglés
q98finrgu5hthm4bnvcsvlln22	1986	España	Zaragoza	5	Inglés
s5pbkds4d32fn9ilcvkbkf9ij7	1975	España	Madrid	4	Inglés 
fqs4ffllcqfjiutdv84tvknpf7	1979	España	Galicia	5	Galego, portugués, francés e inglés.
qav7jpbkn1sb61m4ab0e1c1m84	1979	España	Asturias	4	Inglés
2q1bldkcsdrvj4bllk3cn9e7r4	1992	Perú	Arequipa	4	Inglés
qv8ua7823p2nqs86vdv8e6c3v4	1999	España	Castilla y León 	4	Inglés 
4i48mad4bq2m53sroek0gflr43	1956	España	País Vasco	4	Ninguna
s8bmnlb9p3qovr0njth7tl5qn2	1969	España 	País Vasco 	5	Inglés 
5h46brih7tksuk2oasi9sru8s6	1976	España	Andalucía	5	No
b492g23ii8lfsfolo75ua10q05	1976	España	Madrid	4	Inglés
ns90v4k9ircvq0f7egf0064v12	1992	México	Acámbaro, Guanajuato	5	francés, inglés
rcigoobt7ehbne8pdq65ic3sj4	1975	España	Galicia	4	Inglés, Gallego
6b0i36ed3rd0l8a2ln2fpfi6k1	1973	España	Galicia	5	Gallego, Inglés, Italiano
7i31gs5cqonahrom18isluquo2	1981	España	País Vasco	4	Inglés 
2qmkbu3147l62psvaslf6n78v7	1996	España	Andalucía (Cádiz)	5	inglés y francés
8r1q4m73e25hee560b2qcih740	1968	España	Madrid	2	Inglés
9bik8t4nt6s1tuhcm1vu1idk34	1973	Espanya	Euskadi	4	Euskera
lma2lem41u1aiptul3vj3d9lo1	1978	España	Madrid	5	Inglés.
jvse39rc0nl4euao3ge9kq99d2	1965	España	Navarra	4	Ninguno
8gvcbd0qqmma3217jkv877rr21	1976	España	Castilla	4	Inglés, Alemán
2teuc3o1384gh0neaet8brjui5	2000	Barcelona 	Ibiza	2	Catalán y gallego
bj3n6q8jb7a84ast7j7aomopk4	2000	España	Soria, Castilla y León 	2	Inglés
sikasv0k94dsr907fi2v75n9h0	1992	España	Asturias	5	asturiano, inglés
h1p9g9ngmhhn305nr9hetfk294	1974	España	Madrid	5	inglés y alemán
cvq3g0qkoiomq1rca2blko4d37	1993	España	Madrid	5	Inglés, francés
o347ho8pgprn40d4atk7d9sd23	1977	Suiza	Aargau	5	Inglés, Italiano, Alemán, Francés
dbm7g3fjrp0e7t2jr4c5ufjag0	1974	España	Extremadura	4	Inglés 
hacngi07h39ker470j1ppb7gp7	1958	España	Andalucía	4	inglés
