id	birthyear	country	region	estudios	lengua
kqnmc6t9205gtbakot8dd7d172	1959	España	Madrid	4	Inglés 
6cupo784dkab63d4gh20cbdog2	1957	España	Madrid	4	inglés, holandés
29ksuaqpg8hca3q5ban2ta0aq1	1959	España	Madrid	5	Ninguno
91pj22paf5902lhrjfme9oj737	2007	España	Madrid 	2	Inglés 
3v9udcr6k4soj6d3j0gcmts612	1963	España	Madrid	5	Inglés, catalán, gallego
539pdd9dgekr93nj394rrcj3q1	1964	España	Madrid 	4	Inglés francés italiano 
tcje390bjdgr9oa9mmj3v9vih5	1963	España	Madrid 	5	Inglés 
so935706v826k0b54t4i858eb5	1961	España	Madrid 	5	Inglés medio
l2m9ik9elc70j0p1pft6b7od74	1962	España 	Madrid 	5	0
up9ail7csjoq1of73kodbnjge1	1963	España	Madrid	4	0
5rdkn0j3scnd96vco8aa1binj7	1981	España	Andalucía	5	inglés
2pnpu2uhk3i9jdkrfspu50na47	1961	España 	Madrid	4	Ninguna
jr88i8u7tnd14f1s5e3jb1jjb1	1945	España	Madrid me	4	Francés e inglés 
mo8uqfol490pmfiku0sb6mmb07	1989	España	Madrid	4	Inglés 
74b9o6n7ut9q4dhhueb1ob3f14	1987	España 	Madrid 	4	Inglés 
lp4fdu1is33hemeugjpljm8kp1	1987	España	Madrid	5	1
u1965ha3db62musbhcedhl5016	1987	España	Madrid	5	Inglés
pptu0pamsuobvutueslkqrp3a0	1965	españa	País Vasco	4	ninguna
a4ds417tfu1moks5ushc9tb2d4	1989	España	Madrid	3	Inglés
vsl54mg2sujibeukds73gec163	1962	España	País Vasco	4	Ninguna
j866jaeg8pcl2qfm28iffn0os0	1986	España	País Vasco	5	Euskera, inglés, francés
99ljed1vj04rn4uarm2ih5aij5	1956	España	Madrid 	5	Ninguna 
vop3gnhm5o8bbs0mhemvtc7dc3	1986	España	Aragón	5	Ninguno
7693ua7m1jnkimt2h77u5m86b0	1961	España	Madrid	3	Ninguna
a66osiiofl4g4gc9595th382m5	1980	España	Murcia	3	Ingles
3thve7cs4j4qvr59graqq2hv97	1985	España	Madrid	5	Español, inglés, francés
qab7kpor6pjih5c0b8v89r0s47	1954	España	Madrid	5	inglés
3ugt4b6an2489a0jq5l3j5m9n2	1997	España	Madrid	5	Inglés 
7ib4pbhkp3tt22cvhcsj59bdp1	1999	España	Madrid	4	Ingles, italiano
c7gubd8mbqnekash8387do1271	1997	España	Madrid	5	Ingles
csqomnlgrocfcgo7l3at4pm6m1	1963	España	Madrid 	4	Inglés 
8gvg8boeakcuqtjkpn2pt5aro2	1963	España	Madrid	5	Inglés?
obces47q2ta98d652r0eqbjq13	1961	España 	Madrid 	4	Gallego 
tjh7mreq9tjhnlpfsn93gf75h0	1963	España	Andalucía	4	inglés
ki8v2dcd1jhglb2s6h9es2rss7	1963	España	Madrid	5	Inglés
13rnp8g5jqvf13q9b5ibd1hvi0	1968	España	Madrid	2	Inglés
7jbq04nfo4kna78e0melnq3qg0	1941	España	Madrid 	4	Ninguna
73bnvnd2s37aq8f53sas2e9ti5	1989	España	Madrid	4	Alemán e inglés 
diluit6shkdaoq5gedc3naaun6	1987	España	Madrid	4	Inglés 
speptbn5904ctmbhlrjfla61v2	1987	España 	Madrid 	5	Ingles 
hlp19lpn5uqqjtg3g2s7kkc442	1989	España	Madrid	4	Inglés
nk2lb3ep85ak6ndoiau5s2h0q5	1995	España	Guipuzcoa	3	Euskera, Inglés
d57b7fb8pglpldssesu15g2fs6	1984	España	Aragón	5	Inglés
g3vjeinukuh8d8mjqbgcr4er75	1989	España	Madrid	5	Inglés
7l4mg0mcvf9faq89cqg34v5uu3	1983	España	Madrid	4	EN, FR
f7pv64mqdtqldg67879urp3cm0	1962	España	País Vasco	4	Ninguna
eatqq2vfnurt8rp4k3g1p9h4u0	1957	ESPAÑA	MADRID	4	FRANCES
h64c6mm0g63r08v2s7epr2em26	1987	España	Madrid	4	Inglés
i2pqasgi8eo8f40utj7o9bab83	1963	España	Leon	4	Inglés 
vgejklogpuju130qeqshs7qb73	1955	España	Pais vasco	3	Ninguna
al6hsi4kbk4orvhl37un0ufbk3	1988	España	Madrid	4	Castellano
6i34embkbgpblo7uq64v4iu2b7	1956	España 	 Bizkaia 	4	Ninguno 
m905d4a1edhiu2u4qhe9b2hf66	1952	España	Madrid 	4	italiano
a38setel2e8gn7pjgfqe2jfrj2	1952	España	Madrid	2	Francés 
9kkl44uedhrn0a7ku25ahmq635	1948	España	Castilla León 	1	Ninguna
k6gi0iiefpbrdju4p9dhatu501	1973	España	Madrid	4	Ninguna
